"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
117.363889,-21.471639,"Tephrosia densa",2854136102,"Site number: 273. 6.9 km west of Mount Richthofen, Millstream-Chichester National Park, Fortescue Botanical District","AUS",3000,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.788319,-24.30953,"Tephrosia densa",2854400722,"The Pound, Mount Augustus Tourist Resort","AUS",100,2003,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.703611,-23.083139,"Tephrosia densa",2854375671,"Site number: 901. 3 km north-north-east of West Angela Hill, Hamersley Ranges, Fortescue Botanical District","AUS",3000,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.445556,-23.145833,"Tephrosia densa",2854206851,"Ca 137 km NW of Newman","AUS",100,2009,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.116389,-24.133056,"Tephrosia densa",2854245573,"Dooley Downs Station","AUS",3000,1978,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.391111,-22.753889,"Tephrosia densa",2854282667,"Mindy North Mining Tenement E47/883, Newman","AUS",3000,2007,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
122.5,-22.583333,"Tephrosia densa",2854175301,"Rudall River area","AUS",NA,1971,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.555833,-22.298333,"Tephrosia densa",2854345746,"I275, 12 km N of Warri outcamp and 100 km N of Newman,","AUS",NA,1996,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.116389,-23.483333,"Tephrosia densa",2853763512,"Cooltharra Pool, Ullawarra Station","AUS",3000,1961,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.46408,-22.43158,"Tephrosia densa",2853662109,"Site: WYE17, 42.2 km E of Mt Stuart, 16.1 km NNW of Quarry Hill, 99.3 km ENE of Nanutarra Roadhouse, Pilbara IBRA","AUS",100,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.001852,-23.143253,"Tephrosia densa",2826906208,"Barlee Range Nature Reserve, Kookhabinna Gorge - 24km SSE of Mt. Florry","AUS",NA,1995,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.07771,-22.198183,"Tephrosia densa",3364361583,"Newman","AUS",NA,1980,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.44611,-21.62831,"Tephrosia densa",2853800746,"Site: OYE02, South side of road, 120 m off road, 13.6 km E of Pannawonica on Pannawonica - Millstream Road, 29.9 km NNE of Mt Dempster, 12 km ENE of Pannawonica, Yalleen Station, Pilbara IBRA","AUS",100,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.753333,-23.774722,"Tephrosia densa",2853853949,"28.9 km S from Pretty Pool, near spring, in CALM's Wanna Station","AUS",100,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.984135,-22.84285,"Tephrosia densa",2853876191,"21.5 km ESE of Mount Wall, West Hamersley Range,","AUS",100,1999,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.83767,-22.41903,"Tephrosia densa",2854103862,"Site: WYE07, North side of road, 110 m off road, 23.3 km W of access track to Mt Stuart Station Hms on Munjina-Nanutarra Road, 22.2 km W of Mt Stuart, 36.9 km NE of Nanutarra Roadhouse, Mt Stuart Station, Pilbara IBRA","AUS",100,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.456586,-22.220328,"Tephrosia densa",2854114063,"28.2 km S of Mt Minnie Homestead and 16.3 km SW of Mt Minnie, 31.8 km NNW of Mt Murray, 73.6 km SE of Onslow township. Cane River Conservation Park, Pilbara IBRA","AUS",100,2011,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.218611,-22.894444,"Tephrosia densa",2854164697,"8.4 km E of Coppin Pool on track to Juna Downs Station, Hamersley Range National Park","AUS",3000,1980,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.999444,-23.145833,"Tephrosia densa",2854064727,"Barlee Range Nature Reserve, Kookhabinna Gorge below Currung-Kohndunna Pool, 24 km SSE of Mount Florry,","AUS",NA,1995,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
