"spp_file","num_occ","num_occ_sregion"
"Barleria_prionitis.csv",208,23
"Barleria_pungens.csv",29,23
"Barleria_repens.csv",190,30
"Barleria_rigida.csv",28,27
"Barleria_saxatilis.csv",26,22
"Barleria_senensis.csv",39,38
"Barleria_spinulosa.csv",28,27
"Baronia_taratana.csv",67,48
"Barringtonia_asiatica.csv",444,27
"Barringtonia_racemosa.csv",280,70
"Bartholina_burmanniana.csv",44,38
"Bartholina_etheliae.csv",32,28
"Basilicum_polystachyon.csv",474,29
"Bathiorhamnus_louvelii.csv",25,22
"Bathiorhamnus_reticulatus.csv",23,21
"Baudouinia_fluggeiformis.csv",128,94
"Bauhinia_galpinii.csv",176,97
"Bauhinia_grandidieri.csv",63,43
"Bauhinia_grevei.csv",39,31
"Bauhinia_hildebrandtii.csv",64,52
"Bauhinia_macrantha.csv",84,70
"Bauhinia_madagascariensis.csv",54,43
"Bauhinia_monandra.csv",336,50
"Bauhinia_petersiana.csv",113,103
"Bauhinia_podopetala.csv",28,26
"Bauhinia_tomentosa.csv",158,58
"Bauhinia_variegata.csv",471,51
"Bazzania_nitida.csv",167,28
"Begonia_oxyloba.csv",88,25
"Begonia_princeae.csv",28,24
"Begonia_sutherlandii.csv",57,47
"Behnia_reticulata.csv",52,49
"Beilschmiedia_velutina.csv",24,22
"Bembicia_axillaris.csv",47,44
"Berchemia_discolor.csv",135,108
"Berchemia_zeyheri.csv",69,61
"Berkheya_armata.csv",55,40
"Berkheya_barbata.csv",32,21
"Berkheya_bipinnatifida.csv",54,40
"Berkheya_carlinifolia.csv",25,23
"Berkheya_echinacea.csv",32,25
"Berkheya_fruticosa.csv",26,24
"Berkheya_heterophylla.csv",61,48
"Berkheya_onobromoides.csv",24,22
"Berkheya_pinnatifida.csv",36,33
"Berkheya_rhapontica.csv",26,22
"Berkheya_rigida.csv",66,41
"Berkheya_setifera.csv",55,49
"Berkheya_speciosa.csv",33,29
"Berkheya_spinosa.csv",40,35
"Berkheya_spinosissima.csv",47,42
"Berkheya_zeyheri.csv",23,21
"Berrya_africana.csv",33,26
"Bersama_abyssinica.csv",301,92
"Berula_erecta.csv",4144,53
"Berzelia_abrotanoides.csv",53,41
"Berzelia_intermedia.csv",43,33
"Berzelia_lanuginosa.csv",51,30
"Bewsia_biflora.csv",48,30
"Biancaea_decapetala.csv",836,114
"Bidens_bipinnata.csv",2193,41
"Bidens_biternata.csv",461,30
"Bidens_pilosa.csv",4840,207
"Bidens_schimperi.csv",37,21
"Biophytum_sensitivum.csv",252,21
"Biophytum_umbraculum.csv",450,63
"Bismarckia_nobilis.csv",48,32
"Bivinia_jalbertii.csv",67,56
"Bixa_orellana.csv",2152,28
"Blechnum_australe.csv",85,52
"Blechnum_punctulatum.csv",47,41
"Bleekrodea_madagascariensis.csv",35,30
"Blepharis_buchneri.csv",39,32
"Blepharis_capensis.csv",96,74
"Blepharis_diversispina.csv",34,30
"Blepharis_integrifolia.csv",59,32
"Blepharis_maderaspatensis.csv",365,51
"Blepharis_mitrata.csv",52,47
"Blepharis_obmitrata.csv",33,30
"Blighia_unijugata.csv",190,37
"Blotiella_madagascariensis.csv",28,21
"Blotiella_natalensis.csv",37,29
"Blumea_axillaris.csv",278,46
"Bobartia_indica.csv",34,21
"Bobartia_orientalis.csv",31,22
"Bobgunnia_madagascariensis.csv",285,102
"Boehmeria_virgata.csv",490,60
"Boerhavia_diffusa.csv",1144,89
"Boerhavia_erecta.csv",1133,26
"Bolboschoenus_maritimus.csv",4626,34
"Bolusanthus_speciosus.csv",66,55
"Bombax_rhodognaphalon.csv",33,27
"Bonamia_spectabilis.csv",72,60
"Bonatea_speciosa.csv",68,58
"Boophone_disticha.csv",469,356
"Boophone_haemanthoides.csv",32,25
"Borassus_aethiopum.csv",496,25
"Boscia_albitrunca.csv",264,221
"Boscia_angustifolia.csv",198,37
"Boscia_foetida.csv",107,97
"Boscia_longifolia.csv",27,24
"Boscia_mossambicensis.csv",71,54
"Boscia_oleoides.csv",28,25
"Boscia_salicifolia.csv",153,37
"Bothriochloa_bladhii.csv",946,34
"Bothriochloa_insculpta.csv",128,29
"Brabejum_stellatifolium.csv",53,36
"Brachiaria_bemarivensis.csv",41,39
"Brachiaria_umbellata.csv",75,50
"Brachycorythis_pleistophylla.csv",57,43
"Brachycorythis_pubescens.csv",69,34
"Brachylaena_discolor.csv",159,116
"Brachylaena_elliptica.csv",26,21
"Brachylaena_huillensis.csv",28,22
"Brachylaena_merana.csv",68,53
"Brachylaena_neriifolia.csv",54,39
"Brachylaena_ramiflora.csv",77,63
"Brachystegia_allenii.csv",33,31
"Brachystegia_boehmii.csv",135,121
"Brachystegia_bussei.csv",37,35
"Brachystegia_floribunda.csv",30,26
"Brachystegia_longifolia.csv",73,65
"Brachystegia_manga.csv",42,39
"Brachystegia_spiciformis.csv",319,268
"Brachystegia_stipulata.csv",24,23
"Brachystegia_tamarindoides.csv",142,130
"Brachystegia_taxifolia.csv",28,25
"Brachystegia_utilis.csv",76,68
"Brachystephanus_lyallii.csv",25,21
"Brackenridgea_zanguebarica.csv",49,44
"Brandzeia_filicifolia.csv",25,21
"Brassica_tournefortii.csv",2241,23
"Bremeria_humblotii.csv",32,28
"Bremeria_pervillei.csv",33,23
"Breonadia_salicina.csv",229,119
"Breonia_chinensis.csv",65,57
"Breonia_fragifera.csv",42,37
"Breonia_perrieri.csv",51,40
"Brexia_madagascariensis.csv",99,69
"Bridelia_cathartica.csv",175,146
"Bridelia_micrantha.csv",525,147
"Bridelia_mollis.csv",64,60
"Bridelia_pervilleana.csv",99,83
"Bridelia_tulasneana.csv",74,63
